date,region,abbreviation,hpi
1983-04-01,Midwest,IN,106.0
1983-07-01,Midwest,IN,105.57
1983-10-01,Midwest,IN,104.91
1984-01-01,Midwest,IN,104.97
1984-04-01,Midwest,IN,107.53
1984-07-01,Midwest,IN,106.43
1984-10-01,Midwest,IN,108.61
1985-01-01,Midwest,IN,109.4
1985-04-01,Midwest,IN,110.94
1985-07-01,Midwest,IN,111.55
1985-10-01,Midwest,IN,113.23
1986-01-01,Midwest,IN,114.53
1986-04-01,Midwest,IN,116.5
1986-07-01,Midwest,IN,118.29
1986-10-01,Midwest,IN,119.73
1987-01-01,Midwest,IN,121.5
1987-04-01,Midwest,IN,122.93
1987-07-01,Midwest,IN,124.47
1987-10-01,Midwest,IN,124.84
1988-01-01,Midwest,IN,127.59
1988-04-01,Midwest,IN,129.26
1988-07-01,Midwest,IN,129.91
1988-10-01,Midwest,IN,131.19
1989-01-01,Midwest,IN,132.32
1989-04-01,Midwest,IN,134.11
1989-07-01,Midwest,IN,136.46
1989-10-01,Midwest,IN,136.88
1990-01-01,Midwest,IN,137.84
1990-04-01,Midwest,IN,139.15
1990-07-01,Midwest,IN,140.4
1990-10-01,Midwest,IN,140.91
1991-01-01,Midwest,IN,143.16
1991-04-01,Midwest,IN,144.37
1991-07-01,Midwest,IN,145.44
1991-10-01,Midwest,IN,147.55
1992-01-01,Midwest,IN,148.78
1992-04-01,Midwest,IN,150.18
1992-07-01,Midwest,IN,152.46
1992-10-01,Midwest,IN,153.29
1993-01-01,Midwest,IN,154.32
1993-04-01,Midwest,IN,155.83
1993-07-01,Midwest,IN,157.72
1993-10-01,Midwest,IN,159.21
1994-01-01,Midwest,IN,160.89
1994-04-01,Midwest,IN,163.29
1994-07-01,Midwest,IN,165.22
1994-10-01,Midwest,IN,165.41
1995-01-01,Midwest,IN,167.56
1995-04-01,Midwest,IN,170.49
1995-07-01,Midwest,IN,173.47
1995-10-01,Midwest,IN,175.49
1996-01-01,Midwest,IN,177.7
1996-04-01,Midwest,IN,179.4
1996-07-01,Midwest,IN,180.8
1996-10-01,Midwest,IN,183.09
1997-01-01,Midwest,IN,184.44
1997-04-01,Midwest,IN,186.42
1997-07-01,Midwest,IN,189.09
1997-10-01,Midwest,IN,191.48
1998-01-01,Midwest,IN,193.29
1998-04-01,Midwest,IN,194.98
1998-07-01,Midwest,IN,197.24
1998-10-01,Midwest,IN,198.95
1999-01-01,Midwest,IN,200.8
1999-04-01,Midwest,IN,201.86
1999-07-01,Midwest,IN,202.92
1999-10-01,Midwest,IN,203.97
2000-01-01,Midwest,IN,205.54
2000-04-01,Midwest,IN,207.29
2000-07-01,Midwest,IN,210.12
2000-10-01,Midwest,IN,212.02
2001-01-01,Midwest,IN,216.5
2001-04-01,Midwest,IN,218.28
2001-07-01,Midwest,IN,219.78
2001-10-01,Midwest,IN,221.77
2002-01-01,Midwest,IN,223.41
2002-04-01,Midwest,IN,224.07
2002-07-01,Midwest,IN,226.5
2002-10-01,Midwest,IN,227.53
2003-01-01,Midwest,IN,229.35
2003-04-01,Midwest,IN,230.48
2003-07-01,Midwest,IN,232.08
2003-10-01,Midwest,IN,234.11
2004-01-01,Midwest,IN,235.45
2004-04-01,Midwest,IN,236.26
2004-07-01,Midwest,IN,238.89
2004-10-01,Midwest,IN,241.5
2005-01-01,Midwest,IN,243.15
2005-04-01,Midwest,IN,245.25
2005-07-01,Midwest,IN,248.92
2005-10-01,Midwest,IN,249.49
2006-01-01,Midwest,IN,249.49
2006-04-01,Midwest,IN,249.01
2006-07-01,Midwest,IN,250.47
2006-10-01,Midwest,IN,253.05
2007-01-01,Midwest,IN,253.85
2007-04-01,Midwest,IN,254.62
2007-07-01,Midwest,IN,253.55
2007-10-01,Midwest,IN,254.04
2008-01-01,Midwest,IN,256.0
2008-04-01,Midwest,IN,253.98
2008-07-01,Midwest,IN,250.04
2008-10-01,Midwest,IN,249.68
2009-01-01,Midwest,IN,253.52
2009-04-01,Midwest,IN,249.49
2009-07-01,Midwest,IN,245.09
2009-10-01,Midwest,IN,245.07
2010-01-01,Midwest,IN,241.66
2010-04-01,Midwest,IN,241.92
2010-07-01,Midwest,IN,245.01
2010-10-01,Midwest,IN,244.45
2011-01-01,Midwest,IN,239.23
2011-04-01,Midwest,IN,237.04
2011-07-01,Midwest,IN,239.91
2011-10-01,Midwest,IN,241.18
2012-01-01,Midwest,IN,238.84
2012-04-01,Midwest,IN,238.5
2012-07-01,Midwest,IN,240.54
2012-10-01,Midwest,IN,241.27
2013-01-01,Midwest,IN,241.26
2013-04-01,Midwest,IN,241.76
2013-07-01,Midwest,IN,242.62
2013-10-01,Midwest,IN,242.82
2014-01-01,Midwest,IN,242.62
2014-04-01,Midwest,IN,246.43
2014-07-01,Midwest,IN,248.82
2014-10-01,Midwest,IN,250.15
2015-01-01,Midwest,IN,252.83
2015-04-01,Midwest,IN,256.06
2015-07-01,Midwest,IN,257.03
2015-10-01,Midwest,IN,258.97
2016-01-01,Midwest,IN,258.98
2016-04-01,Midwest,IN,264.3
2016-07-01,Midwest,IN,268.03
2016-10-01,Midwest,IN,269.7
2017-01-01,Midwest,IN,270.21
2017-04-01,Midwest,IN,276.03
2017-07-01,Midwest,IN,280.88
2017-10-01,Midwest,IN,283.55
2018-01-01,Midwest,IN,287.87
2018-04-01,Midwest,IN,295.86
2018-07-01,Midwest,IN,299.83
2018-10-01,Midwest,IN,302.38
2019-01-01,Midwest,IN,306.17
2019-04-01,Midwest,IN,312.07
2019-07-01,Midwest,IN,316.7
2019-10-01,Midwest,IN,320.02
2020-01-01,Midwest,IN,323.35
2020-04-01,Midwest,IN,326.17
1975-01-01,Midwest,IA,58.95
1975-04-01,Midwest,IA,63.92
1975-07-01,Midwest,IA,63.42
1975-10-01,Midwest,IA,65.98
1976-01-01,Midwest,IA,67.57
1976-04-01,Midwest,IA,70.16
1976-07-01,Midwest,IA,74.09
1976-10-01,Midwest,IA,71.39
1977-01-01,Midwest,IA,76.04
1977-04-01,Midwest,IA,78.3
1977-07-01,Midwest,IA,80.22
1977-10-01,Midwest,IA,83.62
1978-01-01,Midwest,IA,86.0
1978-04-01,Midwest,IA,90.29
1978-07-01,Midwest,IA,91.18
1978-10-01,Midwest,IA,95.65
1979-01-01,Midwest,IA,96.5
1979-04-01,Midwest,IA,99.44
1979-07-01,Midwest,IA,102.39
1979-10-01,Midwest,IA,101.9
1980-01-01,Midwest,IA,100.0
1980-04-01,Midwest,IA,100.84
1980-07-01,Midwest,IA,101.45
1980-10-01,Midwest,IA,97.69
1981-01-01,Midwest,IA,94.72
1981-04-01,Midwest,IA,93.14
1981-07-01,Midwest,IA,88.17
1981-10-01,Midwest,IA,102.72
1982-01-01,Midwest,IA,93.67
1982-04-01,Midwest,IA,96.94
1982-07-01,Midwest,IA,90.24
1982-10-01,Midwest,IA,94.45
1983-01-01,Midwest,IA,97.94
1983-04-01,Midwest,IA,99.18
1983-07-01,Midwest,IA,99.14
1983-10-01,Midwest,IA,98.52
1984-01-01,Midwest,IA,98.81
1984-04-01,Midwest,IA,100.72
1984-07-01,Midwest,IA,99.31
1984-10-01,Midwest,IA,101.08
1985-01-01,Midwest,IA,101.51
1985-04-01,Midwest,IA,101.53
1985-07-01,Midwest,IA,103.14
1985-10-01,Midwest,IA,102.13
1986-01-01,Midwest,IA,103.32
1986-04-01,Midwest,IA,103.88
1986-07-01,Midwest,IA,104.32
1986-10-01,Midwest,IA,104.05
1987-01-01,Midwest,IA,105.46
1987-04-01,Midwest,IA,105.37
1987-07-01,Midwest,IA,105.57
1987-10-01,Midwest,IA,102.39
1988-01-01,Midwest,IA,104.6
1988-04-01,Midwest,IA,106.34
1988-07-01,Midwest,IA,108.45
1988-10-01,Midwest,IA,108.06
1989-01-01,Midwest,IA,109.97
1989-04-01,Midwest,IA,111.14
1989-07-01,Midwest,IA,113.2
1989-10-01,Midwest,IA,114.2
1990-01-01,Midwest,IA,115.71
1990-04-01,Midwest,IA,117.18
1990-07-01,Midwest,IA,118.8
1990-10-01,Midwest,IA,119.69
1991-01-01,Midwest,IA,121.33
1991-04-01,Midwest,IA,122.63
1991-07-01,Midwest,IA,123.76
1991-10-01,Midwest,IA,125.59
1992-01-01,Midwest,IA,126.02
1992-04-01,Midwest,IA,128.08
1992-07-01,Midwest,IA,129.74
1992-10-01,Midwest,IA,130.87
1993-01-01,Midwest,IA,132.04
1993-04-01,Midwest,IA,133.96
1993-07-01,Midwest,IA,136.68
1993-10-01,Midwest,IA,138.24
1994-01-01,Midwest,IA,140.8
1994-04-01,Midwest,IA,144.43
1994-07-01,Midwest,IA,147.18
1994-10-01,Midwest,IA,147.31
1995-01-01,Midwest,IA,148.93
1995-04-01,Midwest,IA,152.22
1995-07-01,Midwest,IA,154.4
1995-10-01,Midwest,IA,155.83
1996-01-01,Midwest,IA,157.91
1996-04-01,Midwest,IA,159.29
1996-07-01,Midwest,IA,160.68
1996-10-01,Midwest,IA,161.75
1997-01-01,Midwest,IA,163.36
1997-04-01,Midwest,IA,165.16
1997-07-01,Midwest,IA,167.59
1997-10-01,Midwest,IA,169.08
1998-01-01,Midwest,IA,171.25
1998-04-01,Midwest,IA,173.41
1998-07-01,Midwest,IA,175.29
1998-10-01,Midwest,IA,177.49
1999-01-01,Midwest,IA,179.07
1999-04-01,Midwest,IA,181.7
1999-07-01,Midwest,IA,182.84
1999-10-01,Midwest,IA,183.96
2000-01-01,Midwest,IA,185.9
2000-04-01,Midwest,IA,188.4
2000-07-01,Midwest,IA,190.9
2000-10-01,Midwest,IA,192.31
2001-01-01,Midwest,IA,196.39
2001-04-01,Midwest,IA,198.49
2001-07-01,Midwest,IA,199.88
2001-10-01,Midwest,IA,202.3
2002-01-01,Midwest,IA,204.07
2002-04-01,Midwest,IA,205.08
2002-07-01,Midwest,IA,207.64
2002-10-01,Midwest,IA,209.4
2003-01-01,Midwest,IA,210.73
2003-04-01,Midwest,IA,212.34
2003-07-01,Midwest,IA,214.94
2003-10-01,Midwest,IA,218.32
2004-01-01,Midwest,IA,219.92
2004-04-01,Midwest,IA,222.29
2004-07-01,Midwest,IA,225.36
2004-10-01,Midwest,IA,227.9
2005-01-01,Midwest,IA,230.43
2005-04-01,Midwest,IA,233.23
2005-07-01,Midwest,IA,236.99
2005-10-01,Midwest,IA,238.78
2006-01-01,Midwest,IA,238.86
2006-04-01,Midwest,IA,240.22
2006-07-01,Midwest,IA,241.62
2006-10-01,Midwest,IA,243.59
2007-01-01,Midwest,IA,244.43
2007-04-01,Midwest,IA,246.49
2007-07-01,Midwest,IA,246.42
2007-10-01,Midwest,IA,247.83
2008-01-01,Midwest,IA,249.18
2008-04-01,Midwest,IA,247.87
2008-07-01,Midwest,IA,245.84
2008-10-01,Midwest,IA,246.97
2009-01-01,Midwest,IA,249.33
2009-04-01,Midwest,IA,247.75
2009-07-01,Midwest,IA,246.34
2009-10-01,Midwest,IA,245.73
2010-01-01,Midwest,IA,243.8
2010-04-01,Midwest,IA,244.64
2010-07-01,Midwest,IA,246.87
2010-10-01,Midwest,IA,246.84
2011-01-01,Midwest,IA,244.57
2011-04-01,Midwest,IA,243.02
2011-07-01,Midwest,IA,245.34
2011-10-01,Midwest,IA,246.41
2012-01-01,Midwest,IA,246.37
2012-04-01,Midwest,IA,246.3
2012-07-01,Midwest,IA,248.14
2012-10-01,Midwest,IA,249.15
2013-01-01,Midwest,IA,249.62
2013-04-01,Midwest,IA,251.34
2013-07-01,Midwest,IA,252.31
2013-10-01,Midwest,IA,252.68
2014-01-01,Midwest,IA,252.51
2014-04-01,Midwest,IA,255.88
2014-07-01,Midwest,IA,258.5
2014-10-01,Midwest,IA,259.61
2015-01-01,Midwest,IA,260.61
2015-04-01,Midwest,IA,264.2
2015-07-01,Midwest,IA,266.59
2015-10-01,Midwest,IA,268.72
2016-01-01,Midwest,IA,269.91
2016-04-01,Midwest,IA,272.85
2016-07-01,Midwest,IA,277.05
2016-10-01,Midwest,IA,278.44
2017-01-01,Midwest,IA,280.45
2017-04-01,Midwest,IA,284.57
2017-07-01,Midwest,IA,288.65
2017-10-01,Midwest,IA,289.61
2018-01-01,Midwest,IA,290.8
2018-04-01,Midwest,IA,296.72
2018-07-01,Midwest,IA,299.57
2018-10-01,Midwest,IA,300.33
2019-01-01,Midwest,IA,302.23
2019-04-01,Midwest,IA,305.44
2019-07-01,Midwest,IA,308.45
2019-10-01,Midwest,IA,310.55
2020-01-01,Midwest,IA,312.4
2020-04-01,Midwest,IA,313.08
1975-01-01,Midwest,KS,62.01
1975-04-01,Midwest,KS,62.33
1975-07-01,Midwest,KS,63.68
1975-10-01,Midwest,KS,64.7
1976-01-01,Midwest,KS,66.78
1976-04-01,Midwest,KS,67.69
1976-07-01,Midwest,KS,68.79
1976-10-01,Midwest,KS,70.64
1977-01-01,Midwest,KS,72.81
1977-04-01,Midwest,KS,76.25
1977-07-01,Midwest,KS,77.75
1977-10-01,Midwest,KS,80.46
1978-01-01,Midwest,KS,82.74
1978-04-01,Midwest,KS,84.93
1978-07-01,Midwest,KS,88.76
1978-10-01,Midwest,KS,90.71
1979-01-01,Midwest,KS,92.52
1979-04-01,Midwest,KS,94.49
1979-07-01,Midwest,KS,96.96
1979-10-01,Midwest,KS,98.34
1980-01-01,Midwest,KS,100.0
1980-04-01,Midwest,KS,101.68
1980-07-01,Midwest,KS,102.6
1980-10-01,Midwest,KS,104.43
1981-01-01,Midwest,KS,98.58
1981-04-01,Midwest,KS,103.91
1981-07-01,Midwest,KS,102.96
1981-10-01,Midwest,KS,105.64
1982-01-01,Midwest,KS,105.33
1982-04-01,Midwest,KS,104.46
1982-07-01,Midwest,KS,105.44
1982-10-01,Midwest,KS,105.56
1983-01-01,Midwest,KS,106.21
1983-04-01,Midwest,KS,109.09
1983-07-01,Midwest,KS,106.75
1983-10-01,Midwest,KS,107.85
1984-01-01,Midwest,KS,108.05
1984-04-01,Midwest,KS,108.35
1984-07-01,Midwest,KS,107.77
1984-10-01,Midwest,KS,107.96
1985-01-01,Midwest,KS,108.94
1985-04-01,Midwest,KS,109.46
1985-07-01,Midwest,KS,110.14
1985-10-01,Midwest,KS,110.87
1986-01-01,Midwest,KS,113.04
1986-04-01,Midwest,KS,113.49
1986-07-01,Midwest,KS,114.52
1986-10-01,Midwest,KS,115.12
1987-01-01,Midwest,KS,115.95
1987-04-01,Midwest,KS,117.73
1987-07-01,Midwest,KS,117.35
1987-10-01,Midwest,KS,116.6
1988-01-01,Midwest,KS,117.31
1988-04-01,Midwest,KS,118.18
1988-07-01,Midwest,KS,117.24
1988-10-01,Midwest,KS,119.04
1989-01-01,Midwest,KS,117.94
1989-04-01,Midwest,KS,119.99
1989-07-01,Midwest,KS,119.62
1989-10-01,Midwest,KS,120.23
1990-01-01,Midwest,KS,120.0
1990-04-01,Midwest,KS,119.58
1990-07-01,Midwest,KS,119.8
1990-10-01,Midwest,KS,119.34
1991-01-01,Midwest,KS,119.92
1991-04-01,Midwest,KS,120.67
1991-07-01,Midwest,KS,120.81
1991-10-01,Midwest,KS,122.42
1992-01-01,Midwest,KS,123.09
1992-04-01,Midwest,KS,123.67
1992-07-01,Midwest,KS,125.1
1992-10-01,Midwest,KS,125.47
1993-01-01,Midwest,KS,126.2
1993-04-01,Midwest,KS,127.2
1993-07-01,Midwest,KS,128.98
1993-10-01,Midwest,KS,130.11
1994-01-01,Midwest,KS,132.3
1994-04-01,Midwest,KS,136.33
1994-07-01,Midwest,KS,137.93
1994-10-01,Midwest,KS,139.17
1995-01-01,Midwest,KS,140.44
1995-04-01,Midwest,KS,143.43
1995-07-01,Midwest,KS,144.69
1995-10-01,Midwest,KS,146.83
1996-01-01,Midwest,KS,147.42
1996-04-01,Midwest,KS,150.25
1996-07-01,Midwest,KS,151.8
1996-10-01,Midwest,KS,153.13
1997-01-01,Midwest,KS,153.57
1997-04-01,Midwest,KS,156.11
1997-07-01,Midwest,KS,157.86
1997-10-01,Midwest,KS,159.8
1998-01-01,Midwest,KS,161.65
1998-04-01,Midwest,KS,163.25
1998-07-01,Midwest,KS,166.01
1998-10-01,Midwest,KS,167.86
1999-01-01,Midwest,KS,169.55
1999-04-01,Midwest,KS,172.79
1999-07-01,Midwest,KS,174.73
1999-10-01,Midwest,KS,175.81
2000-01-01,Midwest,KS,179.26
2000-04-01,Midwest,KS,180.73
2000-07-01,Midwest,KS,183.28
2000-10-01,Midwest,KS,185.1
2001-01-01,Midwest,KS,188.76
2001-04-01,Midwest,KS,191.0
2001-07-01,Midwest,KS,193.16
2001-10-01,Midwest,KS,194.89
2002-01-01,Midwest,KS,197.46
2002-04-01,Midwest,KS,199.39
2002-07-01,Midwest,KS,201.35
2002-10-01,Midwest,KS,202.94
2003-01-01,Midwest,KS,204.5
2003-04-01,Midwest,KS,205.94
2003-07-01,Midwest,KS,207.43
2003-10-01,Midwest,KS,210.69
2004-01-01,Midwest,KS,212.72
2004-04-01,Midwest,KS,214.93
2004-07-01,Midwest,KS,217.12
2004-10-01,Midwest,KS,219.76
2005-01-01,Midwest,KS,221.99
2005-04-01,Midwest,KS,224.99
2005-07-01,Midwest,KS,227.77
2005-10-01,Midwest,KS,228.87
2006-01-01,Midwest,KS,230.03
2006-04-01,Midwest,KS,232.01
2006-07-01,Midwest,KS,234.01
2006-10-01,Midwest,KS,236.21
2007-01-01,Midwest,KS,237.6
2007-04-01,Midwest,KS,240.18
2007-07-01,Midwest,KS,239.48
2007-10-01,Midwest,KS,239.59
2008-01-01,Midwest,KS,241.4
2008-04-01,Midwest,KS,239.8
2008-07-01,Midwest,KS,236.93
2008-10-01,Midwest,KS,237.3
2009-01-01,Midwest,KS,240.21
2009-04-01,Midwest,KS,238.48
2009-07-01,Midwest,KS,236.7
2009-10-01,Midwest,KS,236.27
2010-01-01,Midwest,KS,234.33
2010-04-01,Midwest,KS,234.03
2010-07-01,Midwest,KS,236.52
2010-10-01,Midwest,KS,236.42
2011-01-01,Midwest,KS,232.78
2011-04-01,Midwest,KS,228.95
2011-07-01,Midwest,KS,231.77
2011-10-01,Midwest,KS,233.72
2012-01-01,Midwest,KS,231.96
2012-04-01,Midwest,KS,230.82
2012-07-01,Midwest,KS,233.18
2012-10-01,Midwest,KS,233.27
2013-01-01,Midwest,KS,234.41
2013-04-01,Midwest,KS,233.0
2013-07-01,Midwest,KS,235.7
2013-10-01,Midwest,KS,234.78
2014-01-01,Midwest,KS,235.92
2014-04-01,Midwest,KS,238.94
2014-07-01,Midwest,KS,242.64
2014-10-01,Midwest,KS,242.63
2015-01-01,Midwest,KS,244.61
2015-04-01,Midwest,KS,247.34
2015-07-01,Midwest,KS,250.32
2015-10-01,Midwest,KS,251.21
2016-01-01,Midwest,KS,252.83
2016-04-01,Midwest,KS,258.48
2016-07-01,Midwest,KS,262.16
2016-10-01,Midwest,KS,264.06
2017-01-01,Midwest,KS,263.81
2017-04-01,Midwest,KS,271.0
2017-07-01,Midwest,KS,274.16
2017-10-01,Midwest,KS,275.09
2018-01-01,Midwest,KS,279.69
2018-04-01,Midwest,KS,285.46
2018-07-01,Midwest,KS,286.06
2018-10-01,Midwest,KS,290.09
2019-01-01,Midwest,KS,291.6
2019-04-01,Midwest,KS,297.75
2019-07-01,Midwest,KS,301.25
2019-10-01,Midwest,KS,304.43
2020-01-01,Midwest,KS,306.81
2020-04-01,Midwest,KS,309.68
1975-01-01,South,KY,64.03
1975-04-01,South,KY,66.06
1975-07-01,South,KY,66.94
1975-10-01,South,KY,68.81
1976-01-01,South,KY,69.4
1976-04-01,South,KY,68.71
1976-07-01,South,KY,69.2
1976-10-01,South,KY,69.69
1977-01-01,South,KY,70.01
1977-04-01,South,KY,73.62
1977-07-01,South,KY,76.88
1977-10-01,South,KY,78.62
1978-01-01,South,KY,81.42
1978-04-01,South,KY,84.09
1978-07-01,South,KY,88.79
1978-10-01,South,KY,91.56
1979-01-01,South,KY,95.75
1979-04-01,South,KY,97.94
1979-07-01,South,KY,97.0
1979-10-01,South,KY,99.5
1980-01-01,South,KY,100.0
1980-04-01,South,KY,101.27
1980-07-01,South,KY,101.25
1980-10-01,South,KY,104.89
1981-01-01,South,KY,107.88
1981-04-01,South,KY,106.0
1981-07-01,South,KY,103.41
1981-10-01,South,KY,104.17
1982-01-01,South,KY,106.88
1982-04-01,South,KY,106.81
1982-07-01,South,KY,105.13
1982-10-01,South,KY,107.2
1983-01-01,South,KY,108.78
1983-04-01,South,KY,109.94
1983-07-01,South,KY,110.08
1983-10-01,South,KY,109.46
1984-01-01,South,KY,112.87
1984-04-01,South,KY,110.82
1984-07-01,South,KY,112.83
1984-10-01,South,KY,113.0
1985-01-01,South,KY,114.51
1985-04-01,South,KY,115.61
1985-07-01,South,KY,114.95
1985-10-01,South,KY,117.19
1986-01-01,South,KY,118.81
1986-04-01,South,KY,120.9
1986-07-01,South,KY,121.09
1986-10-01,South,KY,123.7
1987-01-01,South,KY,125.21
1987-04-01,South,KY,126.57
1987-07-01,South,KY,129.27
1987-10-01,South,KY,129.48
1988-01-01,South,KY,131.87
1988-04-01,South,KY,133.1
1988-07-01,South,KY,135.24
1988-10-01,South,KY,136.51
1989-01-01,South,KY,138.11
1989-04-01,South,KY,139.19
1989-07-01,South,KY,142.0
1989-10-01,South,KY,142.71
1990-01-01,South,KY,143.2
1990-04-01,South,KY,144.4
1990-07-01,South,KY,145.47
1990-10-01,South,KY,145.03
1991-01-01,South,KY,147.57
1991-04-01,South,KY,148.78
1991-07-01,South,KY,149.51
1991-10-01,South,KY,151.45
1992-01-01,South,KY,152.48
1992-04-01,South,KY,153.71
1992-07-01,South,KY,155.74
1992-10-01,South,KY,157.1
1993-01-01,South,KY,157.91
1993-04-01,South,KY,159.75
1993-07-01,South,KY,160.97
1993-10-01,South,KY,162.93
1994-01-01,South,KY,165.59
1994-04-01,South,KY,169.89
1994-07-01,South,KY,171.41
1994-10-01,South,KY,173.35
1995-01-01,South,KY,175.26
1995-04-01,South,KY,178.09
1995-07-01,South,KY,180.65
1995-10-01,South,KY,182.3
1996-01-01,South,KY,184.6
1996-04-01,South,KY,186.19
1996-07-01,South,KY,188.13
1996-10-01,South,KY,189.93
1997-01-01,South,KY,192.94
1997-04-01,South,KY,194.0
1997-07-01,South,KY,196.25
1997-10-01,South,KY,198.71
1998-01-01,South,KY,200.47
1998-04-01,South,KY,202.82
1998-07-01,South,KY,205.27
1998-10-01,South,KY,207.97
1999-01-01,South,KY,209.79
1999-04-01,South,KY,212.18
1999-07-01,South,KY,213.97
1999-10-01,South,KY,215.79
2000-01-01,South,KY,219.01
2000-04-01,South,KY,220.97
2000-07-01,South,KY,222.81
2000-10-01,South,KY,225.66
2001-01-01,South,KY,230.03
2001-04-01,South,KY,232.14
2001-07-01,South,KY,234.03
2001-10-01,South,KY,235.9
2002-01-01,South,KY,237.77
2002-04-01,South,KY,239.38
2002-07-01,South,KY,241.92
2002-10-01,South,KY,244.19
2003-01-01,South,KY,246.2
2003-04-01,South,KY,248.15
2003-07-01,South,KY,250.23
2003-10-01,South,KY,253.84
2004-01-01,South,KY,256.89
2004-04-01,South,KY,259.13
2004-07-01,South,KY,262.27
2004-10-01,South,KY,267.23
2005-01-01,South,KY,269.13
2005-04-01,South,KY,272.81
2005-07-01,South,KY,277.3
2005-10-01,South,KY,278.68
2006-01-01,South,KY,281.32
2006-04-01,South,KY,282.25
2006-07-01,South,KY,283.43
2006-10-01,South,KY,286.54
2007-01-01,South,KY,289.0
2007-04-01,South,KY,289.8
2007-07-01,South,KY,289.33
2007-10-01,South,KY,292.41
2008-01-01,South,KY,293.76
2008-04-01,South,KY,293.57
2008-07-01,South,KY,289.16
2008-10-01,South,KY,290.92
2009-01-01,South,KY,293.4
2009-04-01,South,KY,290.53
2009-07-01,South,KY,287.13
2009-10-01,South,KY,287.1
2010-01-01,South,KY,285.09
2010-04-01,South,KY,283.9
2010-07-01,South,KY,287.91
2010-10-01,South,KY,287.46
2011-01-01,South,KY,283.36
2011-04-01,South,KY,280.49
2011-07-01,South,KY,282.79
2011-10-01,South,KY,283.83
2012-01-01,South,KY,283.55
2012-04-01,South,KY,282.51
2012-07-01,South,KY,284.64
2012-10-01,South,KY,285.88
2013-01-01,South,KY,285.78
2013-04-01,South,KY,286.62
2013-07-01,South,KY,286.33
2013-10-01,South,KY,284.84
2014-01-01,South,KY,285.14
2014-04-01,South,KY,289.76
2014-07-01,South,KY,291.06
2014-10-01,South,KY,293.15
2015-01-01,South,KY,295.78
2015-04-01,South,KY,299.61
2015-07-01,South,KY,301.41
2015-10-01,South,KY,303.77
2016-01-01,South,KY,305.87
2016-04-01,South,KY,310.92
2016-07-01,South,KY,314.91
2016-10-01,South,KY,316.74
2017-01-01,South,KY,319.44
2017-04-01,South,KY,326.5
2017-07-01,South,KY,331.52
2017-10-01,South,KY,332.29
2018-01-01,South,KY,337.28
2018-04-01,South,KY,342.4
2018-07-01,South,KY,345.4
2018-10-01,South,KY,347.47
2019-01-01,South,KY,350.5
2019-04-01,South,KY,356.8
2019-07-01,South,KY,361.66
2019-10-01,South,KY,365.05
2020-01-01,South,KY,367.19
2020-04-01,South,KY,371.66
1975-01-01,South,LA,51.72
1975-04-01,South,LA,55.89
1975-07-01,South,LA,52.94
1975-10-01,South,LA,55.57
1976-01-01,South,LA,58.9
1976-04-01,South,LA,59.09
1976-07-01,South,LA,58.44
1976-10-01,South,LA,61.72
1977-01-01,South,LA,62.75
1977-04-01,South,LA,65.22
1977-07-01,South,LA,62.65
1977-10-01,South,LA,68.42
1978-01-01,South,LA,73.43
1978-04-01,South,LA,73.43
1978-07-01,South,LA,77.73
1978-10-01,South,LA,81.9
1979-01-01,South,LA,88.01
1979-04-01,South,LA,92.18
1979-07-01,South,LA,95.31
1979-10-01,South,LA,97.43
1980-01-01,South,LA,100.0
1980-04-01,South,LA,99.48
1980-07-01,South,LA,101.34
1980-10-01,South,LA,102.77
1981-01-01,South,LA,106.56
1981-04-01,South,LA,108.49
1981-07-01,South,LA,111.31
1981-10-01,South,LA,113.27
1982-01-01,South,LA,114.19
1982-04-01,South,LA,115.66
1982-07-01,South,LA,115.32
1982-10-01,South,LA,115.46
1983-01-01,South,LA,116.26
1983-04-01,South,LA,117.27
1983-07-01,South,LA,115.86
1983-10-01,South,LA,116.63
1984-01-01,South,LA,116.78
1984-04-01,South,LA,117.34
1984-07-01,South,LA,115.88
1984-10-01,South,LA,114.67
1985-01-01,South,LA,111.68
1985-04-01,South,LA,113.24
1985-07-01,South,LA,113.3
1985-10-01,South,LA,110.81
1986-01-01,South,LA,113.74
1986-04-01,South,LA,114.46
1986-07-01,South,LA,111.81
1986-10-01,South,LA,110.75
1987-01-01,South,LA,110.85
1987-04-01,South,LA,110.4
1987-07-01,South,LA,104.97
1987-10-01,South,LA,104.76
1988-01-01,South,LA,102.06
1988-04-01,South,LA,102.4
1988-07-01,South,LA,101.22
1988-10-01,South,LA,99.91
1989-01-01,South,LA,100.65
1989-04-01,South,LA,100.57
1989-07-01,South,LA,102.43
1989-10-01,South,LA,102.28
1990-01-01,South,LA,101.75
1990-04-01,South,LA,102.74
1990-07-01,South,LA,103.13
1990-10-01,South,LA,103.56
1991-01-01,South,LA,102.98
1991-04-01,South,LA,105.35
1991-07-01,South,LA,106.36
1991-10-01,South,LA,108.03
1992-01-01,South,LA,109.3
1992-04-01,South,LA,110.41
1992-07-01,South,LA,111.87
1992-10-01,South,LA,112.96
1993-01-01,South,LA,113.84
1993-04-01,South,LA,115.78
1993-07-01,South,LA,117.84
1993-10-01,South,LA,119.46
1994-01-01,South,LA,121.57
1994-04-01,South,LA,124.26
1994-07-01,South,LA,125.47
1994-10-01,South,LA,125.4
1995-01-01,South,LA,126.85
1995-04-01,South,LA,129.43
