date,region,abbreviation,hpi
2018-07-01,South,AL,320.89
2018-10-01,South,AL,321.36
2019-01-01,South,AL,327.82
2019-04-01,South,AL,332.82
2019-07-01,South,AL,337.92
2019-10-01,South,AL,342.13
2020-01-01,South,AL,345.92
2020-04-01,South,AL,350.35
1975-01-01,West,AK,62.85
1975-04-01,West,AK,64.25
1975-07-01,West,AK,77.4
1975-10-01,West,AK,68.91
1976-01-01,West,AK,71.8
1976-04-01,West,AK,72.22
1976-07-01,West,AK,75.96
1976-10-01,West,AK,75.64
1977-01-01,West,AK,79.53
1977-04-01,West,AK,77.71
1977-07-01,West,AK,79.62
1977-10-01,West,AK,81.4
1978-01-01,West,AK,80.79
1978-04-01,West,AK,86.65
1978-07-01,West,AK,89.54
1978-10-01,West,AK,88.6
1979-01-01,West,AK,90.28
1979-04-01,West,AK,101.97
1979-07-01,West,AK,97.37
1979-10-01,West,AK,96.69
1980-01-01,West,AK,100.0
1980-04-01,West,AK,83.62
1980-07-01,West,AK,73.67
1980-10-01,West,AK,94.48
1981-01-01,West,AK,89.68
1981-04-01,West,AK,109.52
1981-07-01,West,AK,117.2
1981-10-01,West,AK,130.11
1982-01-01,West,AK,138.0
1982-04-01,West,AK,131.17
1982-07-01,West,AK,142.0
1982-10-01,West,AK,141.58
1983-01-01,West,AK,139.98
1983-04-01,West,AK,140.92
1983-07-01,West,AK,147.7
1983-10-01,West,AK,147.31
1984-01-01,West,AK,151.25
1984-04-01,West,AK,149.28
1984-07-01,West,AK,155.64
1984-10-01,West,AK,153.82
1985-01-01,West,AK,146.04
1985-04-01,West,AK,146.46
1985-07-01,West,AK,146.45
1985-10-01,West,AK,143.07
1986-01-01,West,AK,143.82
1986-04-01,West,AK,146.2
1986-07-01,West,AK,141.57
1986-10-01,West,AK,138.24
1987-01-01,West,AK,134.79
1987-04-01,West,AK,125.24
1987-07-01,West,AK,116.93
1987-10-01,West,AK,106.02
1988-01-01,West,AK,122.27
1988-04-01,West,AK,116.29
1988-07-01,West,AK,127.52
1988-10-01,West,AK,133.16
1989-01-01,West,AK,129.52
1989-04-01,West,AK,105.14
1989-07-01,West,AK,104.98
1989-10-01,West,AK,102.92
1990-01-01,West,AK,99.39
1990-04-01,West,AK,113.11
1990-07-01,West,AK,122.69
1990-10-01,West,AK,120.33
1991-01-01,West,AK,125.42
1991-04-01,West,AK,128.19
1991-07-01,West,AK,132.29
1991-10-01,West,AK,132.41
1992-01-01,West,AK,133.94
1992-04-01,West,AK,135.43
1992-07-01,West,AK,136.16
1992-10-01,West,AK,136.92
1993-01-01,West,AK,136.59
1993-04-01,West,AK,137.17
1993-07-01,West,AK,139.47
1993-10-01,West,AK,140.23
1994-01-01,West,AK,141.48
1994-04-01,West,AK,144.66
1994-07-01,West,AK,146.69
1994-10-01,West,AK,145.6
1995-01-01,West,AK,148.2
1995-04-01,West,AK,150.58
1995-07-01,West,AK,152.06
1995-10-01,West,AK,152.41
1996-01-01,West,AK,155.11
1996-04-01,West,AK,157.37
1996-07-01,West,AK,158.31
1996-10-01,West,AK,160.09
1997-01-01,West,AK,160.05
1997-04-01,West,AK,161.18
1997-07-01,West,AK,162.47
1997-10-01,West,AK,164.37
1998-01-01,West,AK,164.21
1998-04-01,West,AK,166.96
1998-07-01,West,AK,168.42
1998-10-01,West,AK,168.25
1999-01-01,West,AK,170.26
1999-04-01,West,AK,173.78
1999-07-01,West,AK,173.4
1999-10-01,West,AK,173.52
2000-01-01,West,AK,173.38
2000-04-01,West,AK,175.52
2000-07-01,West,AK,176.64
2000-10-01,West,AK,177.18
2001-01-01,West,AK,180.33
2001-04-01,West,AK,184.03
2001-07-01,West,AK,186.6
2001-10-01,West,AK,186.97
2002-01-01,West,AK,189.92
2002-04-01,West,AK,195.23
2002-07-01,West,AK,196.66
2002-10-01,West,AK,196.15
2003-01-01,West,AK,197.46
2003-04-01,West,AK,200.55
2003-07-01,West,AK,205.05
2003-10-01,West,AK,213.08
2004-01-01,West,AK,214.48
2004-04-01,West,AK,219.55
2004-07-01,West,AK,230.89
2004-10-01,West,AK,233.32
2005-01-01,West,AK,239.21
2005-04-01,West,AK,248.19
2005-07-01,West,AK,256.97
2005-10-01,West,AK,264.88
2006-01-01,West,AK,268.98
2006-04-01,West,AK,275.62
2006-07-01,West,AK,280.92
2006-10-01,West,AK,282.6
2007-01-01,West,AK,286.34
2007-04-01,West,AK,289.33
2007-07-01,West,AK,288.13
2007-10-01,West,AK,287.68
2008-01-01,West,AK,287.5
2008-04-01,West,AK,287.85
2008-07-01,West,AK,284.4
2008-10-01,West,AK,287.09
2009-01-01,West,AK,287.6
2009-04-01,West,AK,284.76
2009-07-01,West,AK,283.52
2009-10-01,West,AK,285.12
2010-01-01,West,AK,280.79
2010-04-01,West,AK,283.18
2010-07-01,West,AK,284.7
2010-10-01,West,AK,285.43
2011-01-01,West,AK,285.41
2011-04-01,West,AK,284.83
2011-07-01,West,AK,285.61
2011-10-01,West,AK,287.73
2012-01-01,West,AK,285.54
2012-04-01,West,AK,285.25
2012-07-01,West,AK,287.67
2012-10-01,West,AK,290.18
2013-01-01,West,AK,293.3
2013-04-01,West,AK,294.32
2013-07-01,West,AK,297.74
2013-10-01,West,AK,298.49
2014-01-01,West,AK,295.9
2014-04-01,West,AK,302.02
2014-07-01,West,AK,305.26
2014-10-01,West,AK,305.03
2015-01-01,West,AK,307.23
2015-04-01,West,AK,311.11
2015-07-01,West,AK,314.31
2015-10-01,West,AK,315.81
2016-01-01,West,AK,316.76
2016-04-01,West,AK,318.96
2016-07-01,West,AK,320.77
2016-10-01,West,AK,318.98
2017-01-01,West,AK,320.28
2017-04-01,West,AK,320.73
2017-07-01,West,AK,324.46
2017-10-01,West,AK,327.21
2018-01-01,West,AK,320.95
2018-04-01,West,AK,328.31
2018-07-01,West,AK,328.48
2018-10-01,West,AK,327.22
2019-01-01,West,AK,330.77
2019-04-01,West,AK,335.05
2019-07-01,West,AK,338.04
2019-10-01,West,AK,339.36
2020-01-01,West,AK,342.4
2020-04-01,West,AK,344.51
1975-01-01,West,AZ,59.2
1975-04-01,West,AZ,61.04
1975-07-01,West,AZ,59.2
1975-10-01,West,AZ,55.61
1976-01-01,West,AZ,58.09
1976-04-01,West,AZ,62.87
1976-07-01,West,AZ,60.8
1976-10-01,West,AZ,60.86
1977-01-01,West,AZ,63.15
1977-04-01,West,AZ,63.77
1977-07-01,West,AZ,65.83
1977-10-01,West,AZ,69.61
1978-01-01,West,AZ,70.79
1978-04-01,West,AZ,73.62
1978-07-01,West,AZ,78.68
1978-10-01,West,AZ,82.81
1979-01-01,West,AZ,87.5
1979-04-01,West,AZ,92.32
