lat,lon
35.089148,-106.514662
33.6138661,-85.7868681
41.3582964,-89.1245054
40.197342,-75.5235415
28.5133974,-81.4616661
33.3932276,-111.9767472
30.3913062,-88.6527527
32.838291,-116.98698
32.752353,-117.009713
32.789092,-116.930692
32.8319714,-117.1295435
32.774536,-117.1464883
32.8287019,-117.15374
32.753923,-117.217435
32.9367077,-117.1086929
33.0489629,-117.289611
33.1096071,-117.1046716
32.7977221,-117.2397203
41.6229075,-87.5877339
30.4584197,-88.897064
37.0188632,-120.1316836
34.8322483,-92.2311281
38.8577138,-104.7195147
35.7342228,-79.4269367
42.1164701,-72.0658224
37.6892211,-122.4655282
40.2173807,-76.7911714
40.1213613,-111.6382032
42.3432972,-85.1537338
30.1812872,-95.5360865
28.5981103,-81.2253374
33.8073648,-118.0287743
36.9297252,-121.767228
42.7294985,-84.5451735
42.3886602,-87.8549179
38.0718814,-78.9002003
35.9484461,-86.8192541
28.0667983,-82.5045294
40.2940849,-76.6517104
34.3013544,-88.70673
34.2553675,-88.7443305
33.9867082,-118.1043638
40.5099234,-74.3864001
28.5224795,-82.2321564
42.2124085,-71.7969247
37.2472759,-77.3897178
37.5346469,-121.9960409
34.689157,-84.9986243
39.624554,-105.091966
33.8249669,-117.5145047
32.7927673,-117.0971495
37.1337923,-104.5198364
43.7161672,-87.7575455
33.8245114,-84.1200562
39.1326528,-121.635275
40.1037379,-83.160734
39.9144608,-104.9942088
34.883655,-82.4561232
43.0026936,-78.8559204
34.4925694,-93.0872318
39.0467834,-77.1036513
40.8458282,-81.9447836
39.7402916,-104.9766767
27.5742112,-99.4740933
35.8188856,-86.3951749
37.1242124,-113.527701
34.5807077,-92.5736471
35.6081681,-82.3185352
42.4335283,-96.3776824
34.7354756,-86.6301181
33.9301497,-81.0778185
44.9624546,-93.2712798
36.025359,-80.1620216
39.8599283,-84.1056025
39.0353529,-87.1616395
41.0082734,-74.2942937
37.7769439,-84.3184157
40.2778743,-76.8245471
30.4515653,-81.7039884
30.4128689,-81.5662532
34.6152887,-92.497953
40.0116059,-75.1128371
40.0383309,-75.109103
35.0712845,-92.4932383
37.7497846,-81.137959
34.4085164,-117.3987153
34.0859078,-117.8705751
41.3622047,-86.3294877
42.2944263,-71.776504
40.7478096,-73.9848348
38.0191355,-84.4160182
40.39503,-86.8820221
30.4221435,-89.1375083
30.4253194,-89.0929482
32.3646655,-86.2717852
33.1613776,-84.8713808
34.1206855,-83.7626477
34.5779565,-82.7130994
34.7730214,-86.5353102
39.537845,-119.734652
44.7305129,-93.2167265
30.2216774,-97.7641187
43.6686786,-116.6794601
28.55321,-81.3949881
28.5534678,-81.3536707
28.5376,-81.276049
28.4496556,-81.424803
28.4655073,-81.3090844
28.5733267,-81.3730386
28.6873511,-81.5398593
28.4900947,-81.2849867
28.552874,-81.4508623
28.5933756,-81.3061885
28.6352179,-81.4042833
28.3796329,-81.4051735
28.5784066,-81.4766247
28.5993706,-81.4182889
28.4508252,-81.3619656
28.4800338,-81.3311715
47.9060209,-97.0441917
40.2503592,-111.6567176
42.4145545,-71.0799979
39.7631117,-86.3358492
39.1611237,-86.5357662
34.7631717,-86.5914846
39.8549273,-86.3926192
25.8833139,-80.244354
38.9526994,-94.5269459
32.1393353,-81.2325868
40.0412466,-75.4932405
41.1128891,-101.7164349
33.8539072,-117.563596
30.475974,-90.8626594
39.7110269,-104.9385764
27.319019,-82.529513
27.2363321,-82.5003559
37.9913827,-85.7069347
40.3875261,-111.8347676
44.6593015,-85.7684729
39.8535955,-82.8290045
38.866109,-77.2305597
34.3919356,-92.8295267
34.2833498,-79.8601311
39.6596399,-106.8265414
28.1745784,-80.672452
39.8129735,-105.1618277
36.1190543,-95.9383068
38.3856832,-81.8341544
33.0175022,-80.0878272
