region,max_distance_miles,mcfarthest_lat,mcfarthest_lon,nearest_lat,nearest_lon
US,153.69900989505487,48.999132603789576,-100.03784323268196,47.9343347,-97.0918657
Alabama,43.04014112507819,31.878651365810008,-85.128431,38.073226,-78.9021744
Arizona,145.87554035258879,37.00376230121155,-110.56126092324158,33.5741424,-111.7144689
Arkansas,46.02591916559006,35.547577405107255,-93.27425696168471,28.515407,-81.46220629999999
California,116.26099249685747,41.22625072825218,-119.99981314070759,34.1211781,-117.61555700000001
Colorado,113.25550751632103,37.288958609211484,-102.95281188214845,30.3916903,-91.1613268
Connecticut,20.236739868642136,41.65964076301643,-73.51873185335312,38.073226,-78.9021744
Delaware,44.118941935123416,39.00518461380435,-75.67818003417233,40.0956535,-75.36508990000002
District of Columbia,4.270613258160493,38.81007840746136,-77.015576275901,37.5491646,-97.2435779
Florida,116.17402248570352,24.547716,-82.158653,29.965016499999997,-95.42012840000001
Georgia,49.45297294362878,33.37544243244567,-83.04755678677758,41.3071534,-112.02322609999999
Idaho,132.2374300927693,45.66836218445808,-115.60435331466618,33.8779947,-79.7591788
Illinois,44.65405814272826,37.89565846714968,-89.90752432802384,29.766648699999998,-96.1531994
Indiana,38.23656407119691,38.938948064136355,-85.35384012614252,42.1945639,-88.2109421
Iowa,51.272839716829495,40.8312239237444,-93.38053613537163,43.5102046,-70.434682
Kansas,103.4853787903786,39.16416134056093,-102.04744589970583,35.8460028,-90.6812808
Kentucky,50.1738479042012,38.66670459808911,-83.57526627936375,39.801952,-94.8160382
Louisiana,81.95034500054906,28.976551,-89.143364,34.121650700000004,-117.19877549999998
Maine,117.43285993170716,46.191599,-70.292736,33.8779947,-79.7591788
Maryland,43.67542710694937,38.9937552928098,-75.73575910410646,35.445723799999996,-78.4238803
Massachusetts,59.36531736896313,41.252466,-69.965725,28.515407,-81.46220629999999
Michigan,88.19230448288177,46.67568615637692,-85.51167384666255,42.0711714,-80.0398204
Minnesota,116.16283180392541,48.12386802040743,-90.5808044830056,42.833057200000006,-77.69547179999999
Mississippi,53.96556771811475,32.72649041693205,-90.96295134389166,41.929056,-88.74757650000001
Missouri,70.74972227620653,39.96771258240422,-92.72983666176489,37.4426808,-122.1704739
Montana,119.12635538118846,46.916187802172274,-110.48622648242225,35.1243854,-77.0862988
Nebraska,121.23207320985092,42.99861364980769,-100.60977037190396,37.6087314,-122.066402
Nevada,142.93192556944663,41.99372997049389,-119.02222876846973,38.927150299999994,-77.2388096
New Hampshire,60.72589975552533,45.305293,-71.084334,33.6312125,-78.96159920000001
New Jersey,33.359861428717466,38.93007175787679,-74.9509224162441,38.073226,-78.9021744
New Mexico,118.42755711675568,36.582569751222,-109.04543144085102,41.929056,-88.74757650000001
New York,51.35701593342273,44.99818375104874,-74.52074157975369,42.3985362,-71.0641082
North Carolina,93.59405629463008,35.56119215868807,-75.46182251287513,33.6978144,-80.2260957
North Dakota,153.69900989505487,48.999132603789576,-100.03784323268196,35.1243854,-77.0862988
Ohio,49.38151783403518,38.69882104048297,-83.54913427122733,33.7028607,-78.87070600000001
Oklahoma,97.85640090567978,37.000104,-103.002199,42.0802805,-86.4178736
Oregon,148.75093607857607,42.22693408911557,-118.88206205808817,29.8678266,-97.93841529999999
Pennsylvania,44.35917162720281,41.712209458360924,-75.75565525467249,41.17945,-96.04237509999999
Rhode Island,27.45387821600066,41.463974,-71.170131,42.339051299999994,-88.0039208
South Carolina,40.9938078510783,34.79368584735323,-80.22061751510142,34.4260063,-117.5742192
South Dakota,131.26005335484624,44.26075846421935,-100.55913478465911,30.3916903,-91.1613268
Tennessee,40.099395901953585,35.06896251626471,-88.83303142815046,40.440380700000006,-79.99869050000001
Texas,115.44017864846812,34.023378351433145,-100.36854500583333,42.6418391,-83.1713962
Utah,153.6929452977884,37.14314665610731,-110.14065021422314,35.8460028,-90.6812808
Vermont,36.31279990895011,45.01142893539777,-71.73360128017502,42.833057200000006,-77.69547179999999
Virginia,49.64211756445386,38.131585,-79.944843,38.854276899999995,-94.7605662
Washington,77.09691261312793,48.381157,-124.731828,33.179594099999996,-86.615709
West Virginia,49.99027713610875,38.10728393662091,-79.9508294330184,44.529644,-88.0606029
Wisconsin,79.8975832823482,47.077175,-90.395367,42.5923308,-114.46117340000002
Wyoming,123.52805083190775,44.61723456542504,-105.59176419967255,40.212687,-76.8788179
