lat,lon
34.8851667,-92.1098497
42.2749154,-71.752676
42.6075239,-89.6510149
36.1150168,-115.2061569
27.96406,-82.4358295
37.9023271,-122.3040885
44.5985661,-75.1475798
32.6934457,-117.1341801
33.0379959,-116.8751363
32.636459,-117.021159
32.7763538,-117.1546503
32.7931022,-117.2540289
33.192972,-117.377849
32.7941752,-116.9349049
33.1999452,-117.2464641
42.9169784,-87.9301163
30.4137111,-86.6540099
41.8297978,-94.1026088
43.5863886,-116.5722737
38.8927371,-104.7520678
37.7831831,-122.421096
44.978507,-123.0272509
45.5529836,-94.1987769
32.8799364,-117.2357406
33.9932307,-117.056304
41.6717413,-86.3146774
29.1660828,-82.1682713
31.3335686,-92.4092789
29.8911914,-95.6405373
42.4094499,-87.8542141
42.3796297,-87.8558324
42.4551151,-87.8248013
37.3954379,-122.0293185
38.0730503,-78.901565
41.0012084,-111.9058517
41.5792326,-88.1625215
34.2576653,-88.7165961
29.8807894,-95.6839548
37.7216711,-122.4372698
40.3169266,-75.3098576
44.9631403,-122.9840379
45.0150039,-93.0191822
39.8494135,-104.9912439
39.4348204,-74.6114219
43.3446748,-89.028736
39.5653147,-105.10951
34.0767549,-117.5510957
44.4511592,-88.0867621
32.8788756,-117.165999
33.2014827,-117.3702737
38.7433271,-121.2738956
44.5571263,-88.0578361
33.8235633,-84.1130663
44.9368784,-93.3884996
35.1580785,-101.9207633
34.142291,-118.239228
39.4281989,-74.5050134
41.8149742,-90.2402343
34.8910074,-82.4013245
25.8596419,-80.3285817
39.6379741,-105.0823637
40.8482548,-81.9461998
39.739807,-104.9674956
41.178491,-85.0973421
30.3926026,-91.0892112
34.5816081,-92.5728538
42.4396494,-96.34831
41.1513141,-74.1880561
44.9737855,-93.2247891
46.1841514,-119.1736362
39.5809954,-104.9594477
41.1592223,-87.6635856
40.74406,-73.923508
42.2557342,-71.0332417
28.755674,-81.3538971
35.022355,-82.5036592
37.6651091,-97.2859519
38.4946862,-121.5234519
39.0379789,-87.13213
31.904243,-106.4222321
43.8245526,-70.319985
34.8239599,-82.5783774
45.6336057,-89.4078182
43.6249371,-89.7953307
40.2767894,-76.8146226
34.7983376,-86.5369558
42.2623618,-84.4229295
37.7850921,-122.4079256
37.2041944,-93.2766564
28.0696171,-82.4274435
36.3303943,-78.4471768
40.0071433,-75.1280054
28.0538085,-82.3952083
35.092042,-92.4280141
41.2330794,-77.0188484
40.679391,-75.147234
34.0402922,-118.0501738
43.950202,-91.2601162
41.3590152,-86.3120459
41.9445013,-91.6724188
41.9772173,-91.6231619
37.0880337,-113.5830768
45.6837451,-92.9858234
40.7096762,-74.011915
30.4252176,-89.0918586
32.3602341,-86.2137923
32.6440844,-85.3471232
42.5509959,-83.0490308
34.7732629,-86.5859067
39.53611,-119.737054
43.3600904,-124.2125719
28.5169077,-81.2902539
28.4863921,-81.3094386
28.4180239,-81.2429449
28.4440109,-81.4267973
28.5980317,-81.2965273
28.38567,-81.403893
28.5943359,-81.364765
28.5187772,-81.3110387
28.5786145,-81.4755811
28.5784851,-81.4390827
28.606535,-81.3945901
28.5523358,-81.5076634
28.5396815,-81.1506031
28.4705524,-81.3962051
28.5506088,-81.5837897
28.427562,-81.405319
28.4855572,-81.4183689
28.5527646,-81.3907325
28.5731,-81.515302
35.6237294,-117.6703197
34.2772407,-86.2061645
43.3249502,-88.2705221
35.1320422,-118.4574436
41.9374378,-89.0687759
39.7635736,-86.3804168
42.0231619,-93.6126616
36.15926,-115.2116638
44.7305829,-88.4469189
34.4971117,-118.6222496
34.1349422,-118.1501572
39.4913231,-86.0637367
37.3044592,-121.8614856
47.8889049,-97.0740776
34.098548,-118.311626
41.1601939,-104.5204691
30.4735328,-90.8636035
29.9663346,-90.0878548
46.4939705,-84.3498865
41.5523779,-88.1254296
39.8123416,-105.1400507
37.6372782,-122.1007633
43.8167536,-91.2493821
40.5683396,-74.551684
35.9561826,-86.8177323
34.3839762,-92.8283628
34.1364715,-118.2152545
45.0422431,-93.1072337
22.0699123,-159.3198861
38.0777255,-117.2473526
29.9726342,-90.0488162
42.9192785,-78.7370391
40.7981535,-74.4769587
41.5860143,-93.624866
37.3092338,-121.993762
33.1927478,-117.3793547
34.1002727,-118.0738858
33.5673338,-117.2065349
42.2477296,-71.0042259
32.3994152,-110.956966
37.0545924,-100.9215946
33.6679032,-85.8271159
33.608621,-85.8274279
42.991453,-84.5465604
32.2771329,-81.0803811
35.2197284,-97.4230024
39.1033896,-87.4244029
33.9539034,-80.9245616
43.2512069,-77.647383
34.9564548,-82.1278783
32.113042,-81.2412417
25.8082878,-80.2894722
40.919472,-98.3534957
43.4219373,-95.124283
38.9796743,-77.4235631
34.4273048,-117.5728562
43.6044679,-96.710856
32.8562387,-116.9244647
42.0125255,-88.179582
35.9292503,-89.8689333
29.7368684,-95.5326965
40.7499023,-73.9831807
42.2612106,-87.9478715
47.1671611,-122.1463669
40.0230174,-86.9028805
40.9413412,-87.2264018
33.9883918,-118.3304291
30.8116611,-97.6113233
31.5304464,-97.1886648
39.9002796,-75.3021064
33.9415325,-117.4544386
41.5219583,-88.1979851
33.1845453,-102.2735833
38.3495472,-122.710034
44.8831487,-88.138771
40.6003851,-98.3928513
42.1573877,-78.7479022
37.7356833,-84.3286856
42.7458308,-73.6423433
29.2122642,-99.7773454
28.5532642,-80.8436144
33.7715555,-84.3744445
41.6301813,-93.6971915
37.7745988,-122.228694
42.8936712,-73.1975096
43.0157519,-78.7674917
38.7769893,-77.2657435
37.3027342,-89.5750163
38.0212851,-122.2615151
33.1608754,-95.2320334
33.1159514,-95.59166
42.25017,-121.7892098
28.9957267,-81.3031799
41.9207589,-72.6714592
41.9984626,-72.5808305
32.3057272,-111.0093289
33.6095535,-86.8051394
33.4511361,-112.1356552
41.6719526,-72.8602533
28.6149001,-80.8070697
32.4308134,-87.0350936
41.5555292,-87.3566303
39.118265,-94.3781166
40.5808497,-111.8319741
28.2188668,-80.603174
34.6569274,-120.4579896
36.3060881,-82.3414244
32.4845047,-84.9363488
32.5060144,-84.9403346
39.7492459,-122.2029717
38.6429741,-121.1903401
33.953215,-96.4183723
47.4021381,-97.0718528
39.6984329,-104.9041034
33.4422843,-111.9269276
36.0095808,-79.8385099
32.832432,-117.1495748
47.7246216,-122.3454212
34.9843803,-78.9649262
29.6179653,-82.3836175
34.9230963,-120.4356609
34.9740962,-120.4351559
40.4463584,-75.3609433
32.3053906,-95.3012502
32.331868,-95.2656036
33.2193604,-111.5646056
37.3408172,-95.2570236
34.7237444,-86.6269826
39.5842178,-82.9540086
41.2296928,-96.1343385
39.61733,-86.3545912
40.0379874,-76.5087704
37.7879818,-122.2462275
36.0073447,-84.0240596
37.6804374,-113.0785135
33.583737,-86.7742757
33.9595784,-118.3802742
40.5880282,-111.9357725
41.6794237,-86.2516
33.6612329,-114.2408378
38.5620384,-121.769157
44.7814301,-88.5813686
29.6640258,-95.1220582
41.860032,-89.4970767
47.2390493,-88.4536575
37.9612472,-122.5053039
41.26269,-96.0900399
40.8091315,-74.0018022
44.3915388,-71.1857518
34.5601582,-112.4845177
39.9134326,-75.1506487
36.2842759,-115.2873226
32.9903417,-80.101093
47.5847054,-122.3036294
36.1080409,-86.7433103
43.612909,-84.210938
34.0990215,-117.8720484
42.0308934,-80.2554256
42.0502123,-80.0831446
39.1199125,-77.1822646
36.4930236,-79.7434929
42.0886972,-80.1375568
38.5896144,-121.5509288
38.727225,-88.0946558
41.2177123,-73.2136247
30.7169602,-95.5705388
41.4305142,-87.3649491
28.5586275,-81.8211811
38.8351323,-77.4315146
45.1115377,-95.0423235
38.3310403,-122.7147275
28.4721524,-80.7673269
42.3777188,-122.8999905
27.9502352,-80.6583202
40.164099,-83.0188195
40.2710474,-96.7471268
35.1561096,-79.4138133
33.4350231,-112.3057004
37.7562127,-87.1507982
28.2310021,-80.7206441
39.3795796,-104.8627181
41.7347428,-87.779149
41.6807493,-86.1893845
33.4309372,-84.1791641
40.6093304,-111.8537698
40.7398887,-111.9462246
40.6475565,-111.9392701
43.0813924,-77.6405846
29.9562476,-90.1196292
41.5909679,-73.1072311
41.7519047,-111.8339055
40.8399048,-79.9189422
36.0323162,-80.3829587
47.0447217,-122.9408452
29.663853,-95.463562
40.5030518,-111.886249
33.6128292,-111.926248
32.8425935,-104.4164482
41.1357101,-81.7891248
32.7053035,-100.8662239
42.9381619,-88.8554953
