needle_length,n_throws,mean,min,pctile_25,median,pctile_75,max
0.1,100,Inf,1.25,2.5,3.3333333333333335,4.0,Inf
0.2,100,3.4003796730198577,1.6,2.666666666666667,3.3333333333333335,4.0,13.333333333333334
0.3,100,3.2779507889279436,2.0,2.727272727272727,3.1578947368421053,3.529411764705882,7.5
0.4,100,3.209578287545414,2.0512820512820515,2.857142857142857,3.076923076923077,3.4782608695652173,6.666666666666667
0.5,100,3.2278951619717535,2.0408163265306123,2.857142857142857,3.125,3.4482758620689657,5.88235294117647
0.6,100,3.1868648604525767,2.1818181818181817,2.857142857142857,3.1578947368421053,3.428571428571429,5.217391304347825
0.7,100,3.1623880832675293,2.2950819672131146,2.9166666666666665,3.1111111111111107,3.333333333333333,4.666666666666667
0.8,100,3.1954428451979133,2.388059701492537,2.962962962962963,3.1372549019607843,3.4042553191489366,4.444444444444445
0.9,100,3.1654601451321507,2.4657534246575343,2.9508196721311477,3.1578947368421058,3.333333333333333,4.285714285714286
1.0,100,3.150549713875703,2.564102564102564,2.9850746268656714,3.125,3.278688524590164,4.0
0.1,1000,3.1800221395297954,2.247191011235955,2.898550724637681,3.125,3.4482758620689657,4.651162790697675
0.2,1000,3.153175436761172,2.4390243902439024,2.962962962962963,3.125,3.3126721763085403,4.2105263157894735
0.3,1000,3.1464907257466304,2.5316455696202533,2.9999999999999996,3.1413612565445024,3.278688524590164,3.9735099337748343
0.4,1000,3.144012726963313,2.6315789473684212,3.0303030303030303,3.1372549019607843,3.2520325203252036,3.703703703703704
0.5,1000,3.1493438958450053,2.7624309392265194,3.048780487804878,3.134796238244514,3.2467532467532467,3.6900369003690034
0.6,1000,3.14829628220507,2.7777777777777777,3.0514976556748166,3.1413612565445024,3.243243243243243,3.692307692307692
0.7,1000,3.1428230276000373,2.772277227722772,3.0634573304157544,3.139013452914798,3.2183908045977008,3.535353535353535
0.8,1000,3.142164628891097,2.8218694885361555,3.071017274472169,3.1372549019607843,3.21285140562249,3.5087719298245617
0.9,1000,3.1457107933709896,2.8662420382165608,3.082191780821918,3.141361256544503,3.202846975088968,3.4285714285714284
1.0,1000,3.143247443278957,2.945508100147275,3.0911901081916535,3.1397174254317113,3.189792663476874,3.4129692832764507
0.1,10000,3.1443774738230656,2.805049088359046,3.0627871362940278,3.139717425431711,3.2206119162640903,3.490401396160559
0.2,10000,3.141061218799481,2.8901734104046244,3.0816640986132513,3.1446540880503147,3.19744204636291,3.493449781659389
0.3,10000,3.145350204078703,2.9776674937965257,3.1023784901758016,3.144654088050314,3.188097768331562,3.376477208778841
0.4,10000,3.1423909670089616,2.952029520295203,3.1055900621118013,3.142183817753339,3.1787027860785138,3.348681456676434
0.5,10000,3.144326461859227,3.0129557095510697,3.1123560535325243,3.1426775612822127,3.17359568390987,3.293807641633729
0.6,10000,3.1405133054114303,3.009027081243731,3.114254240321973,3.1388961548522105,3.1662269129287597,3.2617559119325903
